target,complex_data_type,function_inlining,loop_unrolling,redundant_data_type,unnecessary_variable
clang-22382,-10,0,5,-23,-18
clang-22704,-12,0,0,-8,-12
clang-23309,0,-132,0,-16,-4
clang-23353,16,-8,0,-12,-17
clang-25900,3,-84,0,-19,-19
clang-26760,-12,-6,0,-10,-20
clang-27137,0,-75,0,-17,-5
clang-27747,8,-6,0,-4,-7
clang-31259,16,-56,381,-27,-22
gcc-59903,76,0,0,-25,-4
gcc-60116,-28,-171,128,-20,-18
gcc-61383,2,-31,0,-17,-5
gcc-61917,83,-38,175,-17,0
gcc-64990,0,-5,60,-17,-4
gcc-65383,-1,-40,1,-11,-11
gcc-66186,0,-65,113,-10,-20
gcc-66375,5,-239,24,11,-13
gcc-70127,10,-114,0,-5,-36
gcc-70586,8,-48,89,-13,-13
gcc-71626,0,0,0,0,-5
